Nombre de personnes,Prix Total (TTC),Total HT,Total TTC,TVA,TVA (%)
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.45,10.00,0.55,5.5
1,10,9.45,10.00,0.55,5.5
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.45,10.00,0.55,5.5
1,10,9.45,10.00,0.55,5.5
1,10,9.45,10.00,0.55,5.5
1,10,9.00,10.00,1.00,10
1,10,9.45,10.00,0.55,5.5
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,10,9.00,10.00,1.00,10
1,1,0.94,1.00,0.06,5.5
1,1,0.90,1.00,0.10,10
1,1.10,0.99,1.10,0.11,10
1,10,9.00,10.00,1.00,10
1,"10,00",9.45,10.00,0.55,5.5
1,"10,00",9.45,10.00,0.55,5.5
1,"10,00",9.00,10.00,1.00,10
1,"10,00",9.00,10.00,1.00,10
1,10.00,9.00,10.00,1.00,10
1,0.00,0.00,0.00,0.00,10
1,0.00,0.00,0.00,0.00,5.5
1,10.00,9.45,10.00,0.55,5.5
1,0.00,0.00,0.00,0.00,5.5
1,10.50,9.92,10.50,0.58,5.5
1,10.00,9.00,10.00,1.00,10
2,10.00,9.45,10.00,0.55,5.5
1,8.00,7.56,8.00,0.44,5.5
1,8.50,8.03,8.50,0.47,5.5
1,10.88,10.28,10.88,0.60,5.5
1,10.00,9.00,10.00,1.00,10
1,8.70,7.83,8.70,0.87,10
1,10.00,9.00,10.00,1.00,10
1,10.00,9.00,10.00,1.00,10
1,10.99,9.89,10.99,1.10,10
1,10.88,9.79,10.88,1.09,10
2,29.99,28.34,29.99,1.65,5.5
3,31.98,28.78,31.98,3.20,10
1,10.00,9.00,10.00,1.00,10
